Length,Size,Preorder,Postorder,Randorder
256,1.00 KB,2,2,2
267,1.04 KB,3,2,2
288,1.12 KB,2,2,2
320,1.25 KB,2,2,2
363,1.41 KB,3,2,2
418,1.63 KB,2,2,2
486,1.89 KB,2,2,2
568,2.21 KB,3,3,3
664,2.59 KB,3,3,2
775,3.02 KB,3,2,3
902,3.52 KB,3,2,3
1046,4.08 KB,3,2,2
1208,4.71 KB,3,4,6
1389,5.42 KB,6,6,9
1590,6.21 KB,8,3,3
1813,7.08 KB,3,3,6
2059,8.04 KB,3,3,6
2329,9.09 KB,8,2,2
2625,10.25 KB,6,3,4
2948,11.51 KB,3,2,3
3300,12.89 KB,2,3,3
3683,14.38 KB,3,3,3
4098,16.00 KB,3,3,3
4547,17.76 KB,2,3,3
5032,19.65 KB,3,3,3
5556,21.70 KB,3,3,3
6121,23.91 KB,3,3,3
6729,26.28 KB,3,3,3
7383,28.83 KB,3,2,3
8086,31.58 KB,3,3,3
8841,34.53 KB,2,3,3
9651,37.69 KB,2,3,4
10519,41.08 KB,3,3,4
11449,44.72 KB,3,3,5
12444,48.60 KB,3,2,5
13508,52.76 KB,3,3,5
14645,57.20 KB,3,3,6
15860,61.95 KB,3,2,6
17157,67.01 KB,3,3,6
18541,72.42 KB,2,2,7
20018,78.19 KB,3,3,7
21593,84.34 KB,2,2,7
23272,90.90 KB,3,3,7
25061,97.89 KB,3,3,7
26967,105.33 KB,3,3,7
28997,113.26 KB,3,2,8
31158,121.71 KB,3,2,8
33458,130.69 KB,3,2,8
35906,140.25 KB,3,3,8
38510,150.42 KB,3,3,8
41280,161.25 KB,2,2,8
44226,172.75 KB,3,2,8
47358,184.99 KB,3,3,8
50687,197.99 KB,2,3,8
54225,211.81 KB,3,3,9
57985,226.50 KB,3,3,9
61980,242.10 KB,3,3,9
66224,258.68 KB,3,3,9
70732,276.29 KB,3,3,12
75520,295.00 KB,3,3,14
80605,314.86 KB,3,3,15
86005,335.95 KB,3,2,17
91739,358.35 KB,3,2,19
97827,382.13 KB,3,3,20
104290,407.38 KB,3,3,22
111150,434.17 KB,3,3,23
118431,462.62 KB,3,3,24
126158,492.80 KB,2,3,26
134358,524.83 KB,3,3,26
143060,558.82 KB,2,2,28
152294,594.89 KB,2,3,28
162092,633.17 KB,3,3,29
172487,673.77 KB,3,3,31
183515,716.85 KB,3,3,32
195214,762.55 KB,3,3,32
207624,811.03 KB,3,3,34
220788,862.45 KB,3,3,33
234751,916.99 KB,3,3,36
249561,974.84 KB,3,3,35
265269,1.01 MB,3,3,35
281929,1.07 MB,2,3,38
299598,1.14 MB,2,3,40
318337,1.21 MB,3,3,40
338210,1.29 MB,3,3,44
359285,1.37 MB,3,3,45
381634,1.45 MB,3,3,49
405333,1.54 MB,3,3,52
430463,1.64 MB,3,3,53
457110,1.74 MB,3,3,56
485365,1.85 MB,3,3,63
515325,1.96 MB,3,3,69
547092,2.08 MB,3,3,72
580775,2.21 MB,3,3,79
616488,2.35 MB,3,3,82
654353,2.49 MB,2,3,89
694499,2.64 MB,3,3,97
737063,2.81 MB,3,3,101
782190,2.98 MB,3,3,104
830034,3.16 MB,3,3,110
880758,3.35 MB,3,3,118
934535,3.56 MB,3,3,121
991548,3.78 MB,2,3,130
1051991,4.01 MB,3,3,164
1116070,4.25 MB,3,3,132
1184003,4.51 MB,3,3,144
1256021,4.79 MB,3,3,145
1332370,5.08 MB,3,3,146
1413309,5.39 MB,3,3,150
1499114,5.71 MB,3,3,148
1590077,6.06 MB,3,3,165
1686507,6.43 MB,3,3,182
1788732,6.82 MB,3,3,166
1897100,7.23 MB,3,2,164
2011980,7.67 MB,3,3,167
2133762,8.13 MB,3,3,172
2262860,8.63 MB,2,3,185
2399713,9.15 MB,3,3,180
2544787,9.70 MB,2,3,178
2698575,10.29 MB,3,3,183
2861600,10.91 MB,3,3,180
3034416,11.57 MB,3,3,181
3217610,12.27 MB,3,3,183
3411805,13.01 MB,3,3,186
3617661,13.80 MB,3,3,187
3835878,14.63 MB,3,3,189
4067198,15.51 MB,3,3,190
4312407,16.45 MB,3,3,189
4572338,17.44 MB,3,3,195
4847874,18.49 MB,3,3,193
5139952,19.60 MB,3,3,194
5449564,20.78 MB,3,2,201
5777762,22.04 MB,3,3,196
6125661,23.36 MB,3,3,198
6494443,24.77 MB,3,3,202
6885361,26.26 MB,3,3,204
7299744,27.84 MB,3,3,201
7738999,29.52 MB,3,3,202
8204619,31.29 MB,3,3,206
8388608,32.00 MB,3,3,205
